Disease,Severity,Weight,Age,Breed,Temperature,Previous_Disease,Treatment,Feed_Adjustment_Percent
Pediculosis,0,477.5,82,AFS,38.6,None,Antiparasitic + Monitoring,-4.8
FMD,1,513.2,64,AFS,39.3,None,Antibiotics + Isolation,-13.4
Healthy,0,432.2,77,AFS,38.4,Pediculosis,No Treatment Required,0.0
Dermatophilosis,0,368.7,57,AFS,38.8,None,Topical Treatment + Monitoring,-5.2
FMD,1,414.0,19,AFS,39.7,Ringworm,Antibiotics + Isolation,-16.2
Ringworm,2,431.4,90,AFS,39.8,Contagious,Antifungal + Topical Care,-8.2
Ringworm,1,441.1,61,AFS,39.0,None,Topical Treatment + Monitoring,-7.1
FMD,2,403.8,27,AFS,41.2,None,Antiviral + Quarantine,-26.2
Lumpy Skin,1,363.9,60,AFS,39.3,None,Antibiotics + Isolation,-13.5
Contagious,1,360.6,29,AFS,39.2,None,Antibiotics + Isolation,-14.6
Pediculosis,1,438.3,49,AFS,39.2,Mastitis,Antiparasitic + Monitoring,-6.4
Dermatophilosis,1,467.2,83,AFS,39.5,None,Antibiotics + Isolation,-13.1
Dermatophilosis,2,417.1,17,AFS,40.6,Pediculosis,Antibiotics + Isolation,-17.5
FMD,0,425.2,61,AFS,39.0,None,Supportive Care Only,-6.3
Pediculosis,0,382.9,13,AFS,38.9,Pediculosis,Antiparasitic + Monitoring,-2.3
FMD,1,366.8,70,AFS,39.5,None,Antibiotics + Isolation,-14.7
FMD,1,411.3,87,AFS,39.5,None,Antibiotics + Isolation,-14.1
Lumpy Skin,2,351.0,40,AFS,41.3,None,Antiviral + Quarantine,-23.7
Lumpy Skin,1,394.1,33,AFS,39.6,Contagious,Antibiotics + Isolation,-16.2
FMD,1,358.3,53,AFS,39.7,None,Antibiotics + Isolation,-16.6
Ringworm,0,417.7,77,AFS,38.8,Lumpy Skin,Topical Treatment + Monitoring,-4.4
FMD,1,498.4,59,AFS,39.0,None,Antibiotics + Isolation,-15.8
Contagious,1,376.8,76,AFS,39.3,Pediculosis,Antibiotics + Isolation,-14.4
Ringworm,0,366.1,28,AFS,39.0,None,Topical Treatment + Monitoring,-1.3
Healthy,0,512.7,77,AFS,38.4,Lumpy Skin,No Treatment Required,0.0
Mastitis,0,538.2,80,AFS,38.5,None,Anti-inflammatory + Rest,-5.8
Contagious,0,429.9,71,AFS,38.5,None,Antibiotics + Isolation,-9.9
Contagious,0,359.9,32,AFS,38.7,Ringworm,Antibiotics + Isolation,-6.4
Healthy,0,449.8,49,AFS,38.6,None,No Treatment Required,0.0
Contagious,1,447.1,78,AFS,39.5,None,Antibiotics + Isolation,-12.5
Healthy,0,471.6,68,AFS,38.8,None,No Treatment Required,0.0
Lumpy Skin,1,403.2,68,AFS,39.6,Lumpy Skin,Antibiotics + Isolation,-13.1
Pediculosis,0,497.0,44,AFS,38.6,None,Antiparasitic + Monitoring,-3.8
Dermatophilosis,0,409.4,50,AFS,39.0,Pediculosis,Topical Treatment + Monitoring,-3.9
Ringworm,2,375.8,61,AFS,40.9,None,Antifungal + Topical Care,-8.8
Healthy,0,369.3,80,AFS,38.4,Dermatophilosis,No Treatment Required,0.0
Ringworm,2,427.0,15,AFS,40.8,None,Antifungal + Topical Care,-10.3
Ringworm,0,440.7,25,AFS,38.8,None,Topical Treatment + Monitoring,-4.2
Pediculosis,1,540.1,25,AFS,39.4,None,Antiparasitic + Monitoring,-6.8
Ringworm,1,448.1,44,AFS,39.7,None,Topical Treatment + Monitoring,-8.7
Lumpy Skin,1,533.6,81,AFS,39.6,None,Antibiotics + Isolation,-15.7
Healthy,0,545.7,22,AFS,38.5,None,No Treatment Required,0.0
Lumpy Skin,1,392.1,18,AFS,39.3,None,Antibiotics + Isolation,-14.8
Healthy,0,409.7,32,AFS,38.8,None,No Treatment Required,0.0
Contagious,0,449.5,38,AFS,38.9,None,Antibiotics + Isolation,-7.2
Lumpy Skin,0,447.9,66,AFS,38.8,None,Topical Treatment + Monitoring,-4.0
Pediculosis,1,513.7,65,AFS,39.1,Lumpy Skin,Antiparasitic + Monitoring,-8.3
FMD,2,375.3,28,AFS,40.7,None,Antiviral + Quarantine,-26.5
Ringworm,2,545.3,36,AFS,40.3,None,Antifungal + Topical Care,-11.5
Lumpy Skin,1,481.8,75,AFS,39.0,Dermatophilosis,Antibiotics + Isolation,-14.9
Mastitis,0,350.8,74,AFS,38.9,Mastitis,Anti-inflammatory + Rest,-5.6
Mastitis,0,380.3,42,AFS,38.8,None,Anti-inflammatory + Rest,-4.5
FMD,0,353.6,26,AFS,38.8,Contagious,Supportive Care Only,-6.6
FMD,2,443.3,77,AFS,40.0,Mastitis,Antiviral + Quarantine,-23.9
Pediculosis,0,355.5,85,AFS,38.8,Pediculosis,Antiparasitic + Monitoring,-3.7
Healthy,0,384.7,50,AFS,38.3,None,No Treatment Required,0.0
Pediculosis,0,499.1,26,AFS,38.6,Lumpy Skin,Antiparasitic + Monitoring,-5.4
Healthy,0,353.2,34,AFS,38.5,None,No Treatment Required,0.0
Mastitis,1,390.9,46,AFS,39.0,None,Anti-inflammatory + Rest,-13.8
FMD,0,423.9,17,AFS,38.8,None,Supportive Care Only,-6.3
Lumpy Skin,0,494.6,40,AFS,38.6,None,Topical Treatment + Monitoring,-3.1
Healthy,0,398.2,43,AFS,38.7,None,No Treatment Required,0.0
Mastitis,0,368.5,35,AFS,38.6,Ringworm,Anti-inflammatory + Rest,-8.0
Mastitis,0,398.7,55,AFS,38.5,Ringworm,Anti-inflammatory + Rest,-5.6
Pediculosis,1,534.0,46,AFS,39.6,Pediculosis,Antiparasitic + Monitoring,-8.1
Mastitis,1,360.2,64,AFS,39.3,None,Anti-inflammatory + Rest,-10.9
Contagious,0,454.0,74,AFS,38.7,None,Antibiotics + Isolation,-6.8
Pediculosis,1,511.9,89,AFS,39.1,Ringworm,Antiparasitic + Monitoring,-9.7
Healthy,0,428.0,18,AFS,38.5,None,No Treatment Required,0.0
Healthy,0,384.9,31,AFS,38.4,None,No Treatment Required,0.0
Ringworm,2,528.8,72,AFS,40.2,None,Antifungal + Topical Care,-9.1
Contagious,1,471.3,59,AFS,39.2,None,Antibiotics + Isolation,-15.6
Contagious,1,384.8,91,AFS,39.3,None,Antibiotics + Isolation,-14.4
FMD,1,482.7,89,AFS,39.2,None,Antibiotics + Isolation,-13.6
FMD,0,442.4,59,AFS,38.8,Ringworm,Supportive Care Only,-6.6
Ringworm,2,538.2,13,AFS,41.4,None,Antifungal + Topical Care,-9.8
Dermatophilosis,2,505.0,71,AFS,40.8,Lumpy Skin,Antibiotics + Isolation,-17.8
Lumpy Skin,1,502.4,44,AFS,39.4,None,Antibiotics + Isolation,-16.6
Ringworm,2,440.4,46,AFS,41.4,Dermatophilosis,Antifungal + Topical Care,-8.0
Dermatophilosis,2,420.0,66,AFS,41.0,None,Antibiotics + Isolation,-19.9
Ringworm,1,447.1,60,AFS,39.1,None,Topical Treatment + Monitoring,-8.0
Healthy,0,423.5,90,AFS,38.7,None,No Treatment Required,0.0
Pediculosis,1,495.7,20,AFS,39.3,None,Antiparasitic + Monitoring,-7.8
Dermatophilosis,1,355.9,24,AFS,39.4,None,Antibiotics + Isolation,-13.7
Dermatophilosis,1,413.1,22,AFS,39.4,None,Antibiotics + Isolation,-13.8
FMD,0,403.5,64,AFS,38.6,Dermatophilosis,Supportive Care Only,-6.3
Ringworm,1,530.1,23,AFS,39.2,None,Topical Treatment + Monitoring,-7.4
FMD,2,515.0,18,AFS,40.3,Ringworm,Antiviral + Quarantine,-24.6
Lumpy Skin,2,385.1,18,AFS,39.9,None,Antiviral + Quarantine,-21.3
Ringworm,1,541.0,88,AFS,39.5,None,Topical Treatment + Monitoring,-8.1
Contagious,1,475.9,39,AFS,39.6,None,Antibiotics + Isolation,-14.0
Contagious,2,482.8,84,AFS,40.1,None,Antibiotics + Isolation,-21.3
Contagious,0,498.3,42,AFS,39.0,None,Antibiotics + Isolation,-9.6
Lumpy Skin,1,355.6,58,AFS,39.4,None,Antibiotics + Isolation,-14.8
Lumpy Skin,0,516.6,19,AFS,38.7,FMD,Topical Treatment + Monitoring,-4.2
Dermatophilosis,1,462.3,38,AFS,39.3,None,Antibiotics + Isolation,-10.6
Contagious,1,509.3,31,AFS,39.8,Contagious,Antibiotics + Isolation,-13.9
Ringworm,0,452.4,42,AFS,38.7,Mastitis,Topical Treatment + Monitoring,-3.4
Contagious,0,527.2,29,AFS,38.9,None,Antibiotics + Isolation,-6.5
Healthy,0,361.6,65,AFS,38.4,Dermatophilosis,No Treatment Required,0.0
Ringworm,1,403.7,42,AFS,39.8,Mastitis,Topical Treatment + Monitoring,-7.9
Healthy,0,473.6,31,AFS,38.6,None,No Treatment Required,0.0
FMD,2,491.6,33,AFS,39.8,Dermatophilosis,Antiviral + Quarantine,-26.9
Pediculosis,0,549.9,44,AFS,38.5,None,Antiparasitic + Monitoring,-2.6
Pediculosis,0,356.6,34,AFS,39.0,None,Antiparasitic + Monitoring,-3.5
FMD,0,487.0,55,AFS,38.8,Mastitis,Supportive Care Only,-3.2
FMD,2,361.1,70,AFS,40.2,Pediculosis,Antiviral + Quarantine,-24.1
Ringworm,2,479.5,73,AFS,40.9,FMD,Antifungal + Topical Care,-9.5
Ringworm,1,375.4,30,AFS,39.5,None,Topical Treatment + Monitoring,-8.4
Pediculosis,0,448.3,29,AFS,38.7,Lumpy Skin,Antiparasitic + Monitoring,-5.3
Contagious,1,409.8,66,AFS,39.2,Ringworm,Antibiotics + Isolation,-15.5
Ringworm,1,379.0,92,AFS,39.8,None,Topical Treatment + Monitoring,-6.1
Ringworm,0,367.0,74,AFS,38.6,None,Topical Treatment + Monitoring,-3.9
FMD,1,360.5,91,AFS,39.7,None,Antibiotics + Isolation,-16.6
Lumpy Skin,0,519.1,13,AFS,38.6,None,Topical Treatment + Monitoring,-4.1
Healthy,0,392.4,77,AFS,38.8,Contagious,No Treatment Required,0.0
Lumpy Skin,2,355.0,30,AFS,39.9,None,Antiviral + Quarantine,-21.6
Contagious,2,535.2,72,AFS,40.2,Pediculosis,Antibiotics + Isolation,-20.5
FMD,2,442.0,30,AFS,40.9,Ringworm,Antiviral + Quarantine,-24.8
Lumpy Skin,0,449.0,36,AFS,38.8,Contagious,Topical Treatment + Monitoring,-6.0
Dermatophilosis,1,416.8,88,AFS,39.4,None,Antibiotics + Isolation,-13.0
Contagious,1,423.3,66,AFS,39.0,None,Antibiotics + Isolation,-12.5
Contagious,0,386.8,16,AFS,38.6,Lumpy Skin,Antibiotics + Isolation,-9.5
Mastitis,0,434.0,66,AFS,38.8,None,Anti-inflammatory + Rest,-7.3
Contagious,0,491.4,27,AFS,38.5,None,Antibiotics + Isolation,-6.3
FMD,2,538.4,90,AFS,41.3,None,Antiviral + Quarantine,-25.2
Contagious,1,359.8,88,AFS,39.6,None,Antibiotics + Isolation,-14.8
Pediculosis,1,446.6,59,AFS,39.7,None,Antiparasitic + Monitoring,-6.9
FMD,1,456.7,68,AFS,39.8,None,Antibiotics + Isolation,-14.9
Dermatophilosis,0,375.8,81,AFS,38.9,FMD,Topical Treatment + Monitoring,-6.2
FMD,1,399.6,17,AFS,39.5,None,Antibiotics + Isolation,-14.3
Contagious,0,450.3,62,AFS,38.7,None,Antibiotics + Isolation,-7.4
FMD,1,513.7,47,AFS,39.2,None,Antibiotics + Isolation,-15.6
Dermatophilosis,1,432.4,63,AFS,39.4,Pediculosis,Antibiotics + Isolation,-10.2
Ringworm,0,531.4,66,AFS,38.6,None,Topical Treatment + Monitoring,-2.3
Pediculosis,1,448.9,78,AFS,39.1,None,Antiparasitic + Monitoring,-8.9
Healthy,0,529.3,58,AFS,38.7,None,No Treatment Required,0.0
Pediculosis,2,414.1,13,AFS,40.2,None,Antiparasitic + Monitoring,-13.0
Mastitis,0,495.9,76,AFS,38.8,None,Anti-inflammatory + Rest,-6.6
Healthy,0,509.2,32,AFS,38.7,None,No Treatment Required,0.0
Mastitis,0,508.5,35,AFS,38.9,None,Anti-inflammatory + Rest,-7.7
Pediculosis,1,471.5,88,AFS,39.2,None,Antiparasitic + Monitoring,-7.9
Mastitis,2,500.5,46,AFS,40.3,Contagious,Antibiotics + Isolation,-21.9
Pediculosis,0,486.3,14,AFS,38.5,FMD,Antiparasitic + Monitoring,-5.1
Pediculosis,0,406.8,53,AFS,38.9,Contagious,Antiparasitic + Monitoring,-4.6
Dermatophilosis,0,410.9,82,AFS,38.7,None,Topical Treatment + Monitoring,-5.2
Contagious,1,403.4,94,AFS,39.5,Pediculosis,Antibiotics + Isolation,-15.6
Contagious,1,393.7,54,AFS,39.0,None,Antibiotics + Isolation,-13.2
Pediculosis,0,408.2,12,AFS,38.9,Mastitis,Antiparasitic + Monitoring,-3.0
Lumpy Skin,1,367.9,73,AFS,39.0,None,Antibiotics + Isolation,-13.6
Pediculosis,1,394.7,85,AFS,39.3,None,Antiparasitic + Monitoring,-7.7
Contagious,0,527.7,77,AFS,38.6,FMD,Antibiotics + Isolation,-6.8
FMD,2,445.4,76,AFS,41.3,None,Antiviral + Quarantine,-24.0
FMD,1,407.5,33,AFS,39.4,None,Antibiotics + Isolation,-16.3
Healthy,0,439.9,17,AFS,38.6,Ringworm,No Treatment Required,0.0
Healthy,0,362.6,62,AFS,38.6,None,No Treatment Required,0.0
Dermatophilosis,1,531.2,25,AFS,39.4,None,Antibiotics + Isolation,-12.9
Healthy,0,372.6,39,AFS,38.7,None,No Treatment Required,0.0
Healthy,0,436.0,53,AFS,38.3,None,No Treatment Required,0.0
Dermatophilosis,0,421.0,50,AFS,38.8,None,Topical Treatment + Monitoring,-5.9
Healthy,0,524.9,45,AFS,38.7,Mastitis,No Treatment Required,0.0
Dermatophilosis,1,416.6,95,AFS,39.3,None,Antibiotics + Isolation,-12.1
Contagious,0,549.6,28,AFS,38.8,None,Antibiotics + Isolation,-9.6
Dermatophilosis,0,457.1,75,AFS,38.9,Dermatophilosis,Topical Treatment + Monitoring,-5.3
Lumpy Skin,1,385.9,81,AFS,39.0,None,Antibiotics + Isolation,-13.8
Contagious,1,360.9,65,AFS,39.7,None,Antibiotics + Isolation,-12.8
Healthy,0,454.1,54,AFS,38.7,Dermatophilosis,No Treatment Required,0.0
Dermatophilosis,2,389.4,27,AFS,40.9,None,Antibiotics + Isolation,-16.3
Lumpy Skin,0,414.6,85,AFS,39.0,None,Topical Treatment + Monitoring,-5.5
FMD,1,407.8,31,AFS,39.7,None,Antibiotics + Isolation,-16.5
Dermatophilosis,1,416.2,42,AFS,39.3,None,Antibiotics + Isolation,-11.6
Mastitis,2,436.4,28,AFS,41.0,None,Antibiotics + Isolation,-21.6
Lumpy Skin,1,405.0,86,AFS,39.5,None,Antibiotics + Isolation,-13.4
FMD,2,396.8,34,AFS,41.0,None,Antiviral + Quarantine,-25.8
Contagious,2,450.6,88,AFS,41.0,None,Antibiotics + Isolation,-22.7
FMD,1,388.6,65,AFS,39.6,None,Antibiotics + Isolation,-13.9
Contagious,0,457.1,21,AFS,38.5,Pediculosis,Antibiotics + Isolation,-9.6
Contagious,0,452.0,52,AFS,39.0,Pediculosis,Antibiotics + Isolation,-8.5
Dermatophilosis,1,372.3,53,AFS,39.6,None,Antibiotics + Isolation,-12.1
Lumpy Skin,0,357.6,14,AFS,38.6,None,Topical Treatment + Monitoring,-6.1
Contagious,2,425.4,32,AFS,39.9,None,Antibiotics + Isolation,-20.3
Lumpy Skin,0,384.6,19,AFS,38.8,None,Topical Treatment + Monitoring,-6.6
Mastitis,2,359.7,63,AFS,40.8,None,Antibiotics + Isolation,-21.8
Contagious,0,406.4,59,AFS,38.8,None,Antibiotics + Isolation,-9.6
Healthy,0,381.8,94,AFS,38.5,None,No Treatment Required,0.0
Healthy,0,503.3,21,AFS,38.7,None,No Treatment Required,0.0
Contagious,2,484.6,95,AFS,39.9,None,Antibiotics + Isolation,-20.5
Mastitis,0,526.5,27,AFS,38.9,None,Anti-inflammatory + Rest,-6.2
FMD,1,527.5,89,AFS,39.4,Contagious,Antibiotics + Isolation,-14.2
FMD,1,413.8,41,AFS,39.8,None,Antibiotics + Isolation,-15.8
Mastitis,1,530.6,56,AFS,39.5,None,Anti-inflammatory + Rest,-13.2
Mastitis,1,478.5,55,AFS,39.3,Dermatophilosis,Anti-inflammatory + Rest,-10.7
Mastitis,0,484.5,33,AFS,38.8,Pediculosis,Anti-inflammatory + Rest,-4.7
Dermatophilosis,1,525.5,72,AFS,39.4,None,Antibiotics + Isolation,-13.9
Healthy,0,510.4,76,AFS,38.4,None,No Treatment Required,0.0
Mastitis,2,430.9,93,AFS,41.3,None,Antibiotics + Isolation,-19.5
FMD,1,428.4,16,AFS,39.6,None,Antibiotics + Isolation,-15.5
FMD,2,370.3,41,AFS,40.2,None,Antiviral + Quarantine,-23.8
Pediculosis,1,491.8,27,AFS,39.2,None,Antiparasitic + Monitoring,-8.6
Healthy,0,395.6,76,AFS,38.5,Mastitis,No Treatment Required,0.0
Lumpy Skin,1,448.7,54,AFS,39.6,None,Antibiotics + Isolation,-17.0
FMD,1,406.9,31,AFS,39.5,None,Antibiotics + Isolation,-13.5
Mastitis,0,439.7,74,AFS,38.8,FMD,Anti-inflammatory + Rest,-6.4
Ringworm,0,536.6,60,AFS,38.9,None,Topical Treatment + Monitoring,-3.2
Lumpy Skin,1,536.0,34,AFS,39.2,None,Antibiotics + Isolation,-13.4
Dermatophilosis,0,529.9,69,AFS,38.7,None,Topical Treatment + Monitoring,-5.9
Ringworm,1,376.2,66,AFS,39.3,None,Topical Treatment + Monitoring,-9.0
Dermatophilosis,0,423.0,34,AFS,38.8,None,Topical Treatment + Monitoring,-5.0
Contagious,0,534.2,92,AFS,38.5,None,Antibiotics + Isolation,-8.4
Lumpy Skin,1,479.6,35,AFS,39.5,None,Antibiotics + Isolation,-15.9
Dermatophilosis,0,368.2,63,AFS,38.9,None,Topical Treatment + Monitoring,-6.8
Dermatophilosis,1,517.1,93,AFS,39.5,None,Antibiotics + Isolation,-10.1
Healthy,0,390.3,55,AFS,38.8,None,No Treatment Required,0.0
Pediculosis,0,355.6,21,AFS,38.8,Ringworm,Antiparasitic + Monitoring,-3.1
Lumpy Skin,2,431.6,90,AFS,40.1,FMD,Antiviral + Quarantine,-23.8
Pediculosis,0,488.5,34,AFS,39.0,None,Antiparasitic + Monitoring,-3.9
Ringworm,1,366.5,44,AFS,39.1,None,Topical Treatment + Monitoring,-8.7
FMD,1,532.3,83,AFS,39.5,None,Antibiotics + Isolation,-15.1
Dermatophilosis,2,389.5,42,AFS,40.9,None,Antibiotics + Isolation,-16.2
Contagious,1,464.3,45,AFS,39.7,Dermatophilosis,Antibiotics + Isolation,-13.0
Mastitis,1,365.4,43,AFS,39.6,None,Anti-inflammatory + Rest,-10.2
Mastitis,2,466.9,30,AFS,40.7,None,Antibiotics + Isolation,-20.7
Lumpy Skin,1,364.0,93,AFS,39.5,Contagious,Antibiotics + Isolation,-14.2
FMD,1,376.4,89,AFS,39.2,None,Antibiotics + Isolation,-15.1
Healthy,0,419.3,32,AFS,38.7,None,No Treatment Required,0.0
Dermatophilosis,2,480.5,93,AFS,40.2,None,Antibiotics + Isolation,-19.1
Healthy,0,376.9,79,AFS,38.4,Pediculosis,No Treatment Required,0.0
Pediculosis,0,379.0,81,AFS,38.8,None,Antiparasitic + Monitoring,-4.1
Mastitis,1,512.0,14,AFS,39.4,None,Anti-inflammatory + Rest,-10.9
Ringworm,0,496.9,58,AFS,38.6,None,Topical Treatment + Monitoring,-4.5
Contagious,0,448.1,82,AFS,38.9,None,Antibiotics + Isolation,-6.2
Dermatophilosis,0,403.4,51,AFS,38.9,FMD,Topical Treatment + Monitoring,-6.6
Lumpy Skin,1,537.5,58,AFS,39.8,None,Antibiotics + Isolation,-16.5
Lumpy Skin,2,401.0,84,AFS,40.7,None,Antiviral + Quarantine,-23.6
FMD,0,438.5,21,AFS,38.8,None,Supportive Care Only,-5.1
FMD,1,382.9,26,AFS,39.8,FMD,Antibiotics + Isolation,-16.9
Healthy,0,456.4,38,AFS,38.7,None,No Treatment Required,0.0
Pediculosis,2,382.6,15,AFS,41.3,Pediculosis,Antiparasitic + Monitoring,-12.9
Mastitis,1,429.0,92,AFS,39.0,None,Anti-inflammatory + Rest,-11.1
Lumpy Skin,1,415.2,12,AFS,39.5,None,Antibiotics + Isolation,-13.8
Mastitis,0,359.7,89,AFS,38.7,Mastitis,Anti-inflammatory + Rest,-7.5
Ringworm,1,354.7,59,AFS,39.1,Contagious,Topical Treatment + Monitoring,-8.3
Lumpy Skin,1,471.2,49,AFS,39.0,None,Antibiotics + Isolation,-13.5
Lumpy Skin,0,450.8,60,AFS,39.0,Pediculosis,Topical Treatment + Monitoring,-4.8
Healthy,0,494.5,17,AFS,38.4,None,No Treatment Required,0.0
Ringworm,1,529.2,30,AFS,39.4,None,Topical Treatment + Monitoring,-7.4
Ringworm,1,408.6,72,AFS,39.7,None,Topical Treatment + Monitoring,-6.3
FMD,1,446.0,92,AFS,39.0,Ringworm,Antibiotics + Isolation,-14.9
Ringworm,0,351.1,35,AFS,39.0,None,Topical Treatment + Monitoring,-2.4
Contagious,0,523.5,87,AFS,38.8,None,Antibiotics + Isolation,-7.2
Mastitis,2,498.6,72,AFS,41.1,None,Antibiotics + Isolation,-19.7
Ringworm,1,387.7,64,AFS,39.1,Ringworm,Topical Treatment + Monitoring,-6.9
Healthy,0,403.7,42,AFS,38.4,None,No Treatment Required,0.0
Mastitis,1,447.9,86,AFS,39.2,None,Anti-inflammatory + Rest,-12.1
FMD,1,461.3,57,AFS,39.0,None,Antibiotics + Isolation,-14.8
Dermatophilosis,0,485.8,92,AFS,39.0,None,Topical Treatment + Monitoring,-3.5
Ringworm,0,481.0,54,AFS,38.9,None,Topical Treatment + Monitoring,-3.5
Lumpy Skin,2,452.9,91,AFS,41.3,Contagious,Antiviral + Quarantine,-22.5
FMD,1,409.7,92,AFS,39.1,None,Antibiotics + Isolation,-15.4
FMD,1,486.8,65,AFS,39.1,Ringworm,Antibiotics + Isolation,-14.8
Dermatophilosis,1,406.6,89,AFS,39.8,None,Antibiotics + Isolation,-12.3
Ringworm,0,386.6,58,AFS,38.8,Dermatophilosis,Topical Treatment + Monitoring,-1.7
Contagious,2,487.2,60,AFS,40.3,None,Antibiotics + Isolation,-23.4
Mastitis,1,422.7,70,AFS,39.5,Ringworm,Anti-inflammatory + Rest,-13.3
Contagious,0,436.8,56,AFS,38.6,Lumpy Skin,Antibiotics + Isolation,-8.1
Dermatophilosis,2,409.8,55,AFS,40.0,None,Antibiotics + Isolation,-18.2
Healthy,0,428.1,64,AFS,38.4,None,No Treatment Required,0.0
Pediculosis,0,411.9,58,AFS,38.9,Dermatophilosis,Antiparasitic + Monitoring,-5.1
Ringworm,0,392.1,12,AFS,38.9,None,Topical Treatment + Monitoring,-4.1
Contagious,0,532.4,15,AFS,38.7,FMD,Antibiotics + Isolation,-6.2
Ringworm,1,461.5,34,AFS,39.1,Lumpy Skin,Topical Treatment + Monitoring,-9.2
Dermatophilosis,1,403.6,22,AFS,39.7,Ringworm,Antibiotics + Isolation,-11.6
Contagious,2,414.1,57,AFS,40.6,None,Antibiotics + Isolation,-20.3
Mastitis,2,461.5,23,AFS,40.9,None,Antibiotics + Isolation,-20.7
Lumpy Skin,0,411.7,42,AFS,38.8,None,Topical Treatment + Monitoring,-5.0
Dermatophilosis,0,458.8,88,AFS,38.7,None,Topical Treatment + Monitoring,-6.4
Healthy,0,366.2,24,AFS,38.6,None,No Treatment Required,0.0
Lumpy Skin,2,526.8,82,AFS,40.0,None,Antiviral + Quarantine,-23.7
Mastitis,0,392.5,64,AFS,38.5,Mastitis,Anti-inflammatory + Rest,-7.1
Ringworm,1,451.3,80,AFS,39.1,None,Topical Treatment + Monitoring,-7.8
Dermatophilosis,1,400.7,44,AFS,39.7,Lumpy Skin,Antibiotics + Isolation,-10.0
Pediculosis,2,503.9,93,AFS,41.2,None,Antiparasitic + Monitoring,-13.0
Dermatophilosis,1,414.9,20,AFS,39.5,Ringworm,Antibiotics + Isolation,-10.3
Lumpy Skin,1,467.1,35,AFS,39.7,None,Antibiotics + Isolation,-15.9
Lumpy Skin,0,394.9,86,AFS,38.7,None,Topical Treatment + Monitoring,-6.9
Ringworm,0,430.9,20,AFS,38.6,Mastitis,Topical Treatment + Monitoring,-1.9
Healthy,0,547.8,81,AFS,38.5,None,No Treatment Required,0.0
Healthy,0,515.9,14,AFS,38.4,None,No Treatment Required,0.0
Ringworm,1,443.0,48,AFS,39.4,None,Topical Treatment + Monitoring,-8.0
Mastitis,1,514.3,48,AFS,39.1,Dermatophilosis,Anti-inflammatory + Rest,-12.0
Healthy,0,418.4,83,AFS,38.3,Lumpy Skin,No Treatment Required,0.0
Mastitis,0,540.3,67,AFS,38.6,Dermatophilosis,Anti-inflammatory + Rest,-8.0
Mastitis,0,536.5,54,AFS,39.0,Dermatophilosis,Anti-inflammatory + Rest,-5.3
Lumpy Skin,1,485.2,38,AFS,39.4,Contagious,Antibiotics + Isolation,-15.3
Dermatophilosis,2,471.7,87,AFS,40.1,Lumpy Skin,Antibiotics + Isolation,-17.1
Dermatophilosis,2,527.4,65,AFS,40.2,None,Antibiotics + Isolation,-16.0
Lumpy Skin,0,385.2,61,AFS,38.8,Pediculosis,Topical Treatment + Monitoring,-5.7
Contagious,2,504.3,49,AFS,41.2,None,Antibiotics + Isolation,-22.8
Ringworm,2,429.4,27,AFS,40.6,None,Antifungal + Topical Care,-9.0
Ringworm,2,387.9,67,AFS,40.8,None,Antifungal + Topical Care,-9.2
Contagious,1,424.6,20,AFS,39.4,Pediculosis,Antibiotics + Isolation,-13.0
Healthy,0,358.2,67,AFS,38.5,Ringworm,No Treatment Required,0.0
Mastitis,2,534.4,72,AFS,39.9,None,Antibiotics + Isolation,-20.2
Ringworm,0,421.2,72,AFS,38.9,None,Topical Treatment + Monitoring,-4.5
Contagious,0,468.4,61,AFS,38.6,None,Antibiotics + Isolation,-6.8
FMD,2,388.0,88,AFS,41.0,None,Antiviral + Quarantine,-23.6
Pediculosis,1,505.6,92,AFS,39.3,Contagious,Antiparasitic + Monitoring,-9.9
Lumpy Skin,1,524.2,90,AFS,39.6,None,Antibiotics + Isolation,-15.7
Ringworm,1,453.5,37,AFS,39.7,None,Topical Treatment + Monitoring,-8.8
Contagious,0,537.5,82,AFS,38.8,None,Antibiotics + Isolation,-7.0
Mastitis,1,499.4,71,AFS,39.2,Lumpy Skin,Anti-inflammatory + Rest,-13.7
Contagious,0,526.5,54,AFS,39.0,Contagious,Antibiotics + Isolation,-8.3
Dermatophilosis,2,402.9,88,AFS,41.5,FMD,Antibiotics + Isolation,-17.4
Mastitis,1,509.2,94,AFS,39.4,FMD,Anti-inflammatory + Rest,-11.9
Pediculosis,0,415.3,71,AFS,38.6,None,Antiparasitic + Monitoring,-5.8
Pediculosis,0,534.5,72,AFS,39.0,None,Antiparasitic + Monitoring,-2.3
Ringworm,0,463.4,77,AFS,38.6,None,Topical Treatment + Monitoring,-3.3
Pediculosis,1,511.3,79,AFS,39.8,None,Antiparasitic + Monitoring,-8.6
Pediculosis,1,532.9,70,AFS,39.6,None,Antiparasitic + Monitoring,-9.3
Healthy,0,382.8,62,AFS,38.5,None,No Treatment Required,0.0
Contagious,0,352.7,53,AFS,38.8,None,Antibiotics + Isolation,-7.2
Contagious,2,453.9,53,AFS,41.1,None,Antibiotics + Isolation,-20.5
Mastitis,1,352.9,59,AFS,39.1,None,Anti-inflammatory + Rest,-11.1
Contagious,2,455.6,33,AFS,40.4,None,Antibiotics + Isolation,-21.1
Mastitis,1,521.6,40,AFS,39.3,None,Anti-inflammatory + Rest,-13.9
